liberal_ordinary_votes, liberal_swing, state, liberal_percent, division_id, division_name, polling_place_id
619,2.2,"NSW",33.48,"251","Watson","1"
554,7.04,"NSW",49.2,"103","Banks","2"
463,11.71,"NSW",42.28,"103","Banks","3"
1644,4.35,"NSW",63.57,"103","Banks","4"
909,5.46,"NSW",49.65,"103","Banks","5"
1038,8.73,"NSW",46.76,"103","Banks","6"
915,4.56,"NSW",43.39,"103","Banks","7"
722,7.73,"NSW",44.9,"103","Banks","8"
1142,8.48,"NSW",53.77,"103","Banks","10"
392,11.03,"NSW",47.29,"103","Banks","11"
491,8.67,"NSW",50.31,"103","Banks","12"
806,6.33,"NSW",44.78,"103","Banks","13"
1343,6.03,"NSW",54.5,"103","Banks","14"
843,6.7,"NSW",46.76,"103","Banks","16"
984,3.59,"NSW",55.91,"103","Banks","17"
1206,5.68,"NSW",52.07,"103","Banks","18"
571,13.47,"NSW",54.02,"103","Banks","19"
981,5.98,"NSW",56.9,"103","Banks","22"
910,13.57,"NSW",47.72,"103","Banks","25"
1071,6.55,"NSW",49.56,"103","Banks","26"
307,11.41,"NSW",33.3,"103","Banks","27"
595,8.73,"NSW",47.45,"103","Banks","28"
603,4.58,"NSW",45.17,"103","Banks","31"
286,-2.53,"NSW",28.66,"104","Barton","32"
1238,6.77,"NSW",71.6,"112","Cook","33"
390,1.19,"NSW",28.51,"104","Barton","34"
741,-1.76,"NSW",39.12,"104","Barton","38"
471,3.9,"NSW",62.88,"112","Cook","40"
1296,8.2,"NSW",62.61,"112","Cook","41"
1209,5.8,"NSW",63.73,"103","Banks","42"
452,5.17,"NSW",50.9,"103","Banks","43"
926,1.12,"NSW",54.34,"103","Banks","45"
174,14.02,"NSW",51.33,"103","Banks","46"
229,-2.59,"NSW",32.71,"104","Barton","47"
662,8.03,"NSW",65.22,"112","Cook","49"
683,-0.93,"NSW",32.37,"104","Barton","50"
459,-3.21,"NSW",42.27,"104","Barton","51"
354,5.64,"NSW",51.98,"112","Cook","54"
814,9.66,"NSW",50.68,"103","Banks","55"
760,4.97,"NSW",45.02,"103","Banks","56"
1038,-0.17,"NSW",53.4,"103","Banks","58"
1249,1.18,"NSW",55.46,"103","Banks","59"
877,7.47,"NSW",43.83,"103","Banks","60"
1593,7.65,"NSW",53.46,"112","Cook","61"
332,-3.75,"NSW",27.46,"104","Barton","62"
473,-3.08,"NSW",31.0,"104","Barton","63"
582,5.2,"NSW",50.26,"103","Banks","65"
432,6.84,"NSW",46.91,"103","Banks","67"
1376,5.72,"NSW",60.43,"112","Cook","68"
1174,11.44,"NSW",56.25,"112","Cook","69"
966,-5.18,"NSW",43.09,"105","Bennelong","75"
733,-3.36,"NSW",51.22,"137","North Sydney","76"
363,-0.55,"NSW",41.39,"137","North Sydney","77"
765,-2.09,"NSW",50.2,"137","North Sydney","78"
782,5.19,"NSW",57.29,"105","Bennelong","79"
665,2.27,"NSW",52.28,"105","Bennelong","80"
819,-3.21,"NSW",45.86,"105","Bennelong","81"
842,-1.71,"NSW",47.73,"105","Bennelong","82"
879,-2.06,"NSW",47.85,"105","Bennelong","84"
622,-9.19,"NSW",53.57,"105","Bennelong","87"
724,-0.11,"NSW",47.38,"137","North Sydney","89"
1454,1.54,"NSW",66.97,"137","North Sydney","90"
768,4.07,"NSW",61.74,"137","North Sydney","91"
1223,2.48,"NSW",51.54,"105","Bennelong","92"
1126,-0.32,"NSW",47.25,"137","North Sydney","94"
560,6.74,"NSW",61.81,"137","North Sydney","95"
1046,0.31,"NSW",51.43,"137","North Sydney","96"
1019,2.25,"NSW",61.27,"137","North Sydney","97"
410,-4.65,"NSW",34.02,"105","Bennelong","98"
789,3.86,"NSW",48.55,"137","North Sydney","101"
1719,-0.96,"NSW",61.0,"105","Bennelong","102"
1319,-0.11,"NSW",52.3,"105","Bennelong","105"
1257,2.16,"NSW",52.31,"105","Bennelong","106"
722,-2.03,"NSW",50.31,"105","Bennelong","107"
512,1.67,"NSW",47.67,"108","Bradfield","115"
1193,-0.77,"NSW",46.55,"106","Berowra","117"
727,0.5,"NSW",47.02,"106","Berowra","118"
177,0.9,"NSW",37.98,"106","Berowra","120"
191,-2.73,"NSW",42.83,"106","Berowra","121"
361,-0.33,"NSW",42.27,"106","Berowra","123"
1005,-2.07,"NSW",49.14,"106","Berowra","124"
669,-2.18,"NSW",50.95,"108","Bradfield","125"
628,1.11,"NSW",49.1,"106","Berowra","126"
915,5.0,"NSW",49.89,"108","Bradfield","127"
340,-2.69,"NSW",44.21,"106","Berowra","128"
604,-0.59,"NSW",55.06,"108","Bradfield","129"
146,-0.66,"NSW",73.0,"108","Bradfield","130"
