fid, yth_unemp_rt_15_24, mpy_rt_15_64, gccsa_name_2016, state_code_2016, state_name_2016, working_age_pop_15_64, sa4_code_2016, unemp_rt_15, sa4_name_2016, gccsa_code_2016, ptic_rt_15
1,"6.5","75.40000000000001","Rest of NSW","1","New South Wales","146000","101","4.3","Capital Region","1RNSW","63.6"
2,"10.2","72.59999999999999","Greater Sydney","1","New South Wales","200200","102","5.5","Central Coast","1GSYD","59"
3,"8.800000000000001","78.7","Rest of NSW","1","New South Wales","130700","103","4.3","Central West","1RNSW","67.90000000000001"
4,"12.3","63.7","Rest of NSW","1","New South Wales","79000","104","7.9","Coffs Harbour - Grafton","1RNSW","50.7"
5,"6.9","77.2","Rest of NSW","1","New South Wales","64300","105","2.6","Far West and Orana","1RNSW","59.8"
6,"14.9","74","Rest of NSW","1","New South Wales","166400","106","6","Hunter Valley exc Newcastle","1RNSW","61.3"
7,"14.9","71.09999999999999","Rest of NSW","1","New South Wales","208200","107","6.8","Illawarra","1RNSW","63.2"
8,"15.4","65.5","Rest of NSW","1","New South Wales","118300","108","8","Mid North Coast","1RNSW","47.7"
9,"8.5","72.2","Rest of NSW","1","New South Wales","74400","109","5.1","Murray","1RNSW","61"
10,"12","71.7","Rest of NSW","1","New South Wales","107500","110","6.3","New England and North West","1RNSW","61.1"
11,"18.2","71.5","Rest of NSW","1","New South Wales","246600","111","7.8","Newcastle and Lake Macquarie","1RNSW","63.5"
12,"9.6","73.5","Rest of NSW","1","New South Wales","144500","112","5.1","Richmond - Tweed","1RNSW","58"
13,"5.8","74.7","Rest of NSW","1","New South Wales","100100","113","4.9","Riverina","1RNSW","66.5"
14,"9.1","68","Rest of NSW","1","New South Wales","81100","114","4.8","Southern Highlands and Shoalhaven","1RNSW","50.3"
15,"13.3","76.2","Greater Sydney","1","New South Wales","167000","115","6","Sydney - Baulkham Hills and Hawkesbury","1GSYD","69.90000000000001"
16,"15.2","72","Greater Sydney","1","New South Wales","258000","116","7.1","Sydney - Blacktown","1GSYD","69.2"
17,"14","77.2","Greater Sydney","1","New South Wales","292800","117","6.7","Sydney - City and Inner South","1GSYD","75"
18,"11","77.40000000000001","Greater Sydney","1","New South Wales","215200","118","5.1","Sydney - Eastern Suburbs","1GSYD","72.2"
19,"10.6","70.40000000000001","Greater Sydney","1","New South Wales","414900","119","6.5","Sydney - Inner South West","1GSYD","62.8"
20,"11.9","75.2","Greater Sydney","1","New South Wales","232600","120","6.5","Sydney - Inner West","1GSYD","70.40000000000001"
21,"11.9","78","Greater Sydney","1","New South Wales","288500","121","4.8","Sydney - North Sydney and Hornsby","1GSYD","69.59999999999999"
22,"11.5","80.09999999999999","Greater Sydney","1","New South Wales","178600","122","4.4","Sydney - Northern Beaches","1GSYD","70.3"
