MB_CODE_2016,GCCSA_NAME_2016,SA4_NAME_2016,LGA_CODE_2018,LGA_NAME_2018
20000009499,No usual address (Vic.),No usual address (Vic.),29499,No usual address (Vic.)
20000010000,Rest of Vic.,Hume,20110,Alpine (S)
20002190000,Rest of Vic.,North West,20260,Ararat (RC)
20003933000,Rest of Vic.,Warrnambool and South West,25490,Moyne (S)
20004140000,Rest of Vic.,Ballarat,20570,Ballarat (C)
20015400000,Greater Melbourne,Melbourne - North East,20660,Banyule (C)
20029850000,Rest of Vic.,Latrobe - Gippsland,20740,Bass Coast (S)
20037310000,Rest of Vic.,Latrobe - Gippsland,20830,Baw Baw (S)
20042180000,Greater Melbourne,Melbourne - Inner South,20910,Bayside (C)
20053540000,Rest of Vic.,Hume,21010,Benalla (RC)
20055550000,Greater Melbourne,Melbourne - Inner East,21110,Boroondara (C)
20075590000,Greater Melbourne,Melbourne - North West,21180,Brimbank (C)
20094070000,Rest of Vic.,North West,21270,Buloke (S)
20095460000,Rest of Vic.,Shepparton,21370,Campaspe (S)
20100280000,Greater Melbourne,Melbourne - South East,21450,Cardinia (S)
20106330000,Greater Melbourne,Melbourne - South East,21610,Casey (C)
20129370000,Rest of Vic.,Ballarat,21670,Central Goldfields (S)
20131782000,Rest of Vic.,Ballarat,22910,Hepburn (S)
20132050000,Rest of Vic.,Warrnambool and South West,21750,Colac-Otway (S)
20136170000,Rest of Vic.,Warrnambool and South West,21830,Corangamite (S)
20138664000,Rest of Vic.,Warrnambool and South West,22410,Glenelg (S)
20139310000,Greater Melbourne,Melbourne - Inner,21890,Darebin (C)
20156190000,Rest of Vic.,Latrobe - Gippsland,22110,East Gippsland (S)
20160700000,Rest of Vic.,Latrobe - Gippsland,29399,Unincorporated Vic
20164360000,Greater Melbourne,Mornington Peninsula,22170,Frankston (C)
20180050000,Rest of Vic.,North West,22250,Gannawarra (S)
20182090000,Greater Melbourne,Melbourne - Inner South,22310,Glen Eira (C)
20201770000,Rest of Vic.,Ballarat,22490,Golden Plains (S)
20203720000,Rest of Vic.,Bendigo,22620,Greater Bendigo (C)
20218380000,Greater Melbourne,Melbourne - South East,22670,Greater Dandenong (C)
20234170000,Rest of Vic.,Geelong,22750,Greater Geelong (C)
20264361000,Rest of Vic.,Shepparton,22830,Greater Shepparton (C)
20274730000,Rest of Vic.,North West,22980,Hindmarsh (S)
20275830000,Greater Melbourne,Melbourne - West,23110,Hobsons Bay (C)
20286610000,Rest of Vic.,North West,23190,Horsham (RC)
20289340000,Greater Melbourne,Melbourne - North West,23270,Hume (C)
20304540000,Rest of Vic.,Hume,23350,Indigo (S)
20305710000,Rest of Vic.,Hume,26700,Wangaratta (RC)
20307020000,Greater Melbourne,Melbourne - Inner South,23430,Kingston (C) (Vic.)
20326290000,Greater Melbourne,Melbourne - Outer East,23670,Knox (C)
20341500000,Rest of Vic.,Latrobe - Gippsland,23810,Latrobe (C) (Vic.)
20351070000,Rest of Vic.,Bendigo,23940,Loddon (S)
20352240000,Rest of Vic.,Bendigo,24130,Macedon Ranges (S)
20356770000,Greater Melbourne,Melbourne - Outer East,24210,Manningham (C)
20369660000,Rest of Vic.,Hume,24250,Mansfield (S)
20371360000,Greater Melbourne,Melbourne - West,24330,Maribyrnong (C)
20380110000,Greater Melbourne,Melbourne - Outer East,24410,Maroondah (C)
20392860000,Greater Melbourne,Melbourne - Inner,24600,Melbourne (C)
20401960000,Greater Melbourne,Melbourne - West,24650,Melton (C)
20410550000,Rest of Vic.,North West,24780,Mildura (RC)
20415960000,Rest of Vic.,Hume,24850,Mitchell (S)
20419780000,Rest of Vic.,Shepparton,24900,Moira (S)
20424010000,Greater Melbourne,Melbourne - South East,24970,Monash (C)
20443680000,Greater Melbourne,Melbourne - Inner,25060,Moonee Valley (C)
20457550000,Greater Melbourne,Melbourne - West,25150,Moorabool (S)
20460350000,Greater Melbourne,Melbourne - Inner,25250,Moreland (C)
20477650000,Greater Melbourne,Mornington Peninsula,25340,Mornington Peninsula (S)
20504280000,Rest of Vic.,Bendigo,25430,Mount Alexander (S)
20509190000,Rest of Vic.,Hume,25620,Murrindindi (S)
20511640000,Greater Melbourne,Melbourne - North East,25710,Nillumbik (S)
20518170000,Rest of Vic.,North West,25810,Northern Grampians (S)
20520060000,Greater Melbourne,Melbourne - Inner,25900,Port Phillip (C)
20533420000,Rest of Vic.,Ballarat,25990,Pyrenees (S)
20534750000,Rest of Vic.,Geelong,26080,Queenscliffe (B)
20535630000,Rest of Vic.,Latrobe - Gippsland,26170,South Gippsland (S)
20540210000,Rest of Vic.,Warrnambool and South West,26260,Southern Grampians (S)
20543020000,Greater Melbourne,Melbourne - Inner,26350,Stonnington (C)
20557250000,Rest of Vic.,Hume,26430,Strathbogie (S)
20558930000,Rest of Vic.,Geelong,26490,Surf Coast (S)
20563720000,Rest of Vic.,North West,26610,Swan Hill (RC)
20567180000,Rest of Vic.,Hume,26670,Towong (S)
20572460000,Rest of Vic.,Warrnambool and South West,26730,Warrnambool (C)
