vis_000_intl, state, lga_code18, vis_000_tot, avg_spend_per_night_aud_intl, nights_000_intl, nights_000_tot, avg_spend_commercial_accom_per_night_aud_intl, avg_spend_per_night_aud_tot, spend_audm_dom_day, avg_spend_per_night_aud_dom_ovrnt, avg_spend_commercial_accom_per_night_aud_tot, spend_audm_intl, avg_spend_per_trip_aud_tot, avg_spend_per_trip_aud_dom_ovrnt, spend_audm_dom_ovrnt, avg_spend_per_trip_aud_intl, avg_stay_nights_tot, vis_000_dom_day, avg_stay_nights_intl, avg_stay_nights_dom_ovrnt, nights_000_dom_ovrnt, vis_000_dom_ovrnt, avg_spend_commercial_accom_per_night_aud_dom_ovrnt, spend_audm_tot, avg_spend_per_trip_aud_dom_day, lga_name18
6,"New South Wales","11250",null,61,71,541,66,187,null,206,163,4,null,1767,97,1432,3,null,12,3,470,171,181,null,null,"Broken Hill (C)"
26,"Queensland","36910",2943,52,671,2866,68,134,283,159,167,35,4413,2565,349,746,3,2022,26,2,2194,895,206,667,7138,"Toowoomba (R)"
62,"Queensland","35010",3729,50,1531,4128,52,86,246,107,102,77,6203,2750,278,809,5,2901,25,3,2597,765,166,601,11790,"Moreton Bay (R)"
3,"South Australia","48830",424,51,21,911,null,82,14,83,null,1,4809,3520,74,2851,3,162,7,3,890,259,115,88,11952,"Yorke Peninsula (DC)"
5,"South Australia","48340",214,48,45,268,55,99,12,109,120,2,5618,3242,24,2494,3,130,8,3,223,79,142,38,11113,"Wattle Range (DC)"
23,"Northern Territory","72200",254,51,148,647,60,143,24,171,144,7,2176,1917,85,3034,3,68,7,3,499,163,176,117,2828,"Katherine (T)"
5,"Victoria","26610",402,38,194,818,40,102,32,122,121,7,3495,2997,76,736,4,169,36,3,624,227,157,115,5318,"Swan Hill (RC)"
null,"New South Wales","16200",null,null,null,null,null,null,18,149,null,null,null,2992,48,null,null,147,null,2,322,143,177,null,8272,"Parkes (A)"
7,"Victoria","23810",1114,50,141,631,70,99,79,113,137,7,7882,3894,55,1005,3,891,20,2,491,216,158,141,11299,"Latrobe (C) (Vic.)"
5,"Victoria","24850",626,98,87,454,null,91,31,90,null,8,8664,4629,33,624,3,468,16,2,367,153,190,72,15197,"Mitchell (S)"
4,"South Australia","40120",617,47,72,288,null,106,31,126,null,3,9961,2611,27,1044,4,542,20,3,216,71,250,62,17292,"Adelaide Hills (DC)"
4,"Western Australia","54060",null,76,19,278,129,132,null,136,120,1,null,2122,35,3051,4,null,4,3,259,75,120,null,null,"Irwin (S)"
19,"Victoria","24780",736,35,587,1829,36,143,47,193,140,21,2391,1974,240,924,4,243,31,3,1242,474,199,308,5172,"Mildura (RC)"
982,"Queensland","33430",11423,131,9459,22654,163,189,697,230,217,1237,2299,1150,3035,794,5,6952,10,4,13195,3489,254,4969,9971,"Gold Coast (C)"
93,"Tasmania","64010",1873,89,757,2237,103,158,173,194,199,68,3552,1989,287,1370,3,1210,8,3,1481,570,249,527,6999,"Launceston (C)"
5,"South Australia","40220",872,55,36,698,67,101,42,104,147,2,7748,3489,69,2379,3,627,8,3,662,240,151,112,15017,"Alexandrina (DC)"
10,"Queensland","36660",917,33,433,1334,33,89,52,115,101,14,5400,3486,104,687,4,545,44,2,902,363,177,170,10561,"Southern Downs (R)"
24,"New South Wales","17550",1903,63,241,2342,84,127,114,134,177,15,4626,2148,282,1577,4,1273,10,3,2101,606,185,411,11160,"Tweed (A)"
51,"Queensland","36370",1290,57,297,1832,91,161,126,182,194,17,3057,1993,279,3016,3,684,6,3,1536,556,211,422,5412,"Rockhampton (R)"
50,"Victoria","20740",2210,108,164,2635,144,128,106,129,192,18,4980,2713,320,2835,3,1293,3,3,2470,867,196,444,12147,"Bass Coast (S)"
43,"South Australia","42750",null,232,136,551,295,208,null,200,247,31,null,1313,83,1355,4,null,3,4,415,109,228,null,null,"Kangaroo Island (DC)"
4,"Victoria","25620",924,58,29,584,null,99,42,101,null,2,9259,4362,56,2132,2,676,8,2,555,244,149,100,16044,"Murrindindi (S)"
3,"Queensland","34710",null,56,22,353,103,193,null,201,172,1,null,1810,67,2613,3,null,7,3,331,121,174,null,null,"Longreach (R)"
6,"Tasmania","63010",431,55,123,389,51,102,31,123,151,7,6069,2293,33,917,5,350,20,4,266,75,250,71,11113,"Huon Valley (M)"
24,"Western Australia","52590",392,116,66,552,149,131,23,133,175,8,4130,2773,65,3107,3,189,3,3,486,179,179,95,8376,"Dandaragan (S)"
3,"South Australia","40520",241,44,45,396,45,119,9,129,151,2,4281,2628,45,1587,3,120,14,3,351,119,170,56,12931,"Berri and Barmera (DC)"
6,"New South Wales","13450",349,36,282,591,43,94,46,148,114,10,3433,2797,46,549,4,215,51,2,309,128,200,102,4700,"Griffith (C)"
8,"Queensland","34580",341,50,557,827,51,65,14,95,null,28,5057,3437,26,269,9,245,74,3,270,88,null,67,17783,"Lockyer Valley (R)"
